date,price
2016년12월31일,1483.70
2017년01월01일,1486.06
2017년01월02일,1487.92
2017년01월03일,1492.17
2017년01월04일,1495.37
2017년01월05일,1497.70
2017년01월06일,1499.65
2017년01월07일,1501.37
2017년01월08일,1502.44
2017년01월09일,1503.96
2017년01월10일,1505.91
2017년01월11일,1507.16
2017년01월12일,1508.20
2017년01월13일,1509.01
2017년01월14일,1509.85
2017년01월15일,1510.29
2017년01월16일,1511.05
2017년01월17일,1511.69
2017년01월18일,1512.30
2017년01월19일,1512.71
2017년01월20일,1513.06
2017년01월21일,1513.41
2017년01월22일,1513.65
2017년01월23일,1514.03
2017년01월24일,1514.43
2017년01월25일,1514.77
2017년01월26일,1515.40
2017년01월27일,1515.85
2017년01월28일,1516.05
2017년01월29일,1516.15
2017년01월30일,1516.26
2017년01월31일,1516.50
2017년02월01일,1516.70
2017년02월02일,1516.87
2017년02월03일,1516.95
2017년02월04일,1516.99
2017년02월05일,1516.99
2017년02월06일,1517.18
2017년02월07일,1517.29
2017년02월08일,1517.31
2017년02월09일,1517.20
2017년02월10일,1517.09
2017년02월11일,1517.05
2017년02월12일,1517.01
2017년02월13일,1517.02
2017년02월14일,1516.94
2017년02월15일,1516.79
2017년02월16일,1516.79
2017년02월17일,1516.69
2017년02월18일,1516.55
2017년02월19일,1516.55
2017년02월20일,1516.55
2017년02월21일,1516.54
2017년02월22일,1516.40
2017년02월23일,1516.29
2017년02월24일,1516.11
2017년02월25일,1515.75
2017년02월26일,1515.59
2017년02월27일,1515.58
2017년02월28일,1515.39
2017년03월01일,1515.14
2017년03월02일,1514.91
2017년03월03일,1514.75
2017년03월04일,1514.44
2017년03월05일,1514.28
2017년03월06일,1514.09
2017년03월07일,1513.59
2017년03월08일,1513.20
2017년03월09일,1512.76
2017년03월10일,1512.17
2017년03월11일,1511.66
2017년03월12일,1511.54
2017년03월13일,1511.22
2017년03월14일,1510.48
2017년03월15일,1509.70
2017년03월16일,1508.75
2017년03월17일,1507.81
2017년03월18일,1506.89
2017년03월19일,1506.49
2017년03월20일,1505.73
2017년03월21일,1504.17
2017년03월22일,1502.85
2017년03월23일,1501.53
2017년03월24일,1500.27
2017년03월25일,1499.10
2017년03월26일,1498.66
2017년03월27일,1497.82
2017년03월28일,1496.23
2017년03월29일,1494.77
2017년03월30일,1493.63
2017년03월31일,1492.80
2017년04월01일,1490.96
2017년04월02일,1490.48
2017년04월03일,1489.82
2017년04월04일,1488.87
2017년04월05일,1488.06
2017년04월06일,1487.51
2017년04월07일,1486.94
2017년04월08일,1486.51
2017년04월09일,1486.39
2017년04월10일,1486.30
2017년04월11일,1486.64
2017년04월12일,1486.70
2017년04월13일,1486.69
2017년04월14일,1486.73
2017년04월15일,1486.78
2017년04월16일,1486.80
2017년04월17일,1486.89
2017년04월18일,1487.60
2017년04월19일,1487.86
2017년04월20일,1487.91
2017년04월21일,1487.90
2017년04월22일,1487.73
2017년04월23일,1487.70
2017년04월24일,1487.78
2017년04월25일,1487.54
2017년04월26일,1487.35
2017년04월27일,1487.30
2017년04월28일,1487.09
2017년04월29일,1486.76
2017년04월30일,1486.67
2017년05월01일,1486.55
2017년05월02일,1486.12
2017년05월03일,1485.78
